Lab Collection Date,Parish,Daily Test Count,Daily Negative Test Count,Daily Positive Test Count,Daily Case Count
1/21/2021,Caldwell,90,84,6,5
1/22/2021,Caldwell,30,29,1,0
1/23/2021,Caldwell,12,11,1,1
1/24/2021,Caldwell,9,7,2,1
1/25/2021,Caldwell,91,88,3,2
1/26/2021,Caldwell,36,33,3,3
1/27/2021,Caldwell,36,34,2,1
1/28/2021,Caldwell,25,25,0,0
1/29/2021,Caldwell,31,28,3,2
1/30/2021,Caldwell,4,4,0,0
1/31/2021,Caldwell,7,6,1,1
2/1/2021,Caldwell,67,67,0,0
2/2/2021,Caldwell,40,33,7,5
2/3/2021,Caldwell,40,39,1,1
2/4/2021,Caldwell,35,30,5,5
2/5/2021,Caldwell,24,21,3,3
2/6/2021,Caldwell,7,7,0,0
2/7/2021,Caldwell,6,6,0,0
2/8/2021,Caldwell,87,80,7,7
2/9/2021,Caldwell,38,38,0,0
2/10/2021,Caldwell,31,30,1,0
2/11/2021,Caldwell,43,39,4,4
2/12/2021,Caldwell,18,17,1,1
2/13/2021,Caldwell,10,10,0,0
2/14/2021,Caldwell,2,2,0,0
2/15/2021,Caldwell,3,3,0,0
2/16/2021,Caldwell,3,2,1,1
2/17/2021,Caldwell,4,4,0,0
2/18/2021,Caldwell,2,2,0,0
2/19/2021,Caldwell,5,4,1,1
2/20/2021,Caldwell,8,8,0,0
2/21/2021,Caldwell,8,8,0,0
2/22/2021,Caldwell,29,28,1,1
2/23/2021,Caldwell,35,32,3,3
2/24/2021,Caldwell,86,85,1,0
2/25/2021,Caldwell,56,55,1,1
2/26/2021,Caldwell,15,15,0,0
2/27/2021,Caldwell,6,6,0,0
2/28/2021,Caldwell,3,3,0,0
3/1/2021,Caldwell,87,87,0,0
3/2/2021,Caldwell,19,16,3,3
3/3/2021,Caldwell,53,53,0,0
3/4/2021,Caldwell,17,17,0,0
3/5/2021,Caldwell,19,19,0,0
3/6/2021,Caldwell,4,4,0,0
3/7/2021,Caldwell,2,2,0,0
3/8/2021,Caldwell,95,92,3,3
3/9/2021,Caldwell,28,28,0,0
3/10/2021,Caldwell,8,8,0,0
3/11/2021,Caldwell,17,16,1,1
3/12/2021,Caldwell,20,17,3,2
3/13/2021,Caldwell,5,5,0,0
3/14/2021,Caldwell,6,6,0,0
3/15/2021,Caldwell,84,83,1,0
3/16/2021,Caldwell,23,23,0,0
3/17/2021,Caldwell,19,18,1,0
3/18/2021,Caldwell,15,15,0,0
3/19/2021,Caldwell,10,10,0,0
3/20/2021,Caldwell,3,1,2,2
3/21/2021,Caldwell,3,3,0,0
3/22/2021,Caldwell,88,87,1,0
3/23/2021,Caldwell,18,18,0,0
3/24/2021,Caldwell,26,26,0,0
3/25/2021,Caldwell,10,9,1,1
3/26/2021,Caldwell,18,17,1,1
3/27/2021,Caldwell,5,4,1,1
3/28/2021,Caldwell,6,6,0,0
3/29/2021,Caldwell,80,79,1,0
3/30/2021,Caldwell,22,21,1,1
3/31/2021,Caldwell,21,21,0,0
4/1/2021,Caldwell,10,10,0,0
4/2/2021,Caldwell,4,4,0,0
4/3/2021,Caldwell,5,5,0,0
4/4/2021,Caldwell,5,5,0,0
4/5/2021,Caldwell,86,86,0,0
4/6/2021,Caldwell,25,25,0,0
4/7/2021,Caldwell,17,17,0,0
4/8/2021,Caldwell,24,23,1,1
4/9/2021,Caldwell,15,15,0,0
4/10/2021,Caldwell,5,5,0,0
4/11/2021,Caldwell,5,4,1,0
4/12/2021,Caldwell,50,50,0,0
4/13/2021,Caldwell,21,21,0,0
4/14/2021,Caldwell,9,9,0,0
4/15/2021,Caldwell,20,18,2,1
4/16/2021,Caldwell,13,13,0,0
4/17/2021,Caldwell,7,7,0,0
4/18/2021,Caldwell,5,5,0,0
4/19/2021,Caldwell,62,62,0,0
4/20/2021,Caldwell,22,22,0,0
4/21/2021,Caldwell,16,15,1,1
4/22/2021,Caldwell,5,5,0,0
4/23/2021,Caldwell,22,19,3,3
4/24/2021,Caldwell,3,3,0,0
4/25/2021,Caldwell,7,7,0,0
4/26/2021,Caldwell,53,53,0,0
4/27/2021,Caldwell,31,29,2,2
4/28/2021,Caldwell,19,16,3,3
4/29/2021,Caldwell,16,16,0,0
4/30/2021,Caldwell,30,29,1,1
5/1/2021,Caldwell,6,6,0,0
5/2/2021,Caldwell,6,6,0,0
5/3/2021,Caldwell,66,66,0,0
5/4/2021,Caldwell,18,18,0,0
5/5/2021,Caldwell,16,14,2,0
5/6/2021,Caldwell,29,29,0,0
5/7/2021,Caldwell,17,17,0,0
5/8/2021,Caldwell,6,6,0,0
5/9/2021,Caldwell,7,5,2,2
5/10/2021,Caldwell,61,59,2,1
5/11/2021,Caldwell,25,25,0,0
5/12/2021,Caldwell,12,12,0,0
5/13/2021,Caldwell,15,14,1,1
5/14/2021,Caldwell,15,15,0,0
5/15/2021,Caldwell,5,5,0,0
5/16/2021,Caldwell,6,6,0,0
5/17/2021,Caldwell,54,54,0,0
5/18/2021,Caldwell,16,14,2,2
5/19/2021,Caldwell,12,12,0,0
5/20/2021,Caldwell,19,18,1,1
5/21/2021,Caldwell,6,6,0,0
5/22/2021,Caldwell,6,6,0,0
5/23/2021,Caldwell,8,8,0,0
5/24/2021,Caldwell,64,63,1,1
5/25/2021,Caldwell,22,18,4,3
5/26/2021,Caldwell,17,14,3,1
5/27/2021,Caldwell,19,18,1,0
5/28/2021,Caldwell,17,16,1,1
5/29/2021,Caldwell,7,7,0,0
5/30/2021,Caldwell,9,9,0,0
5/31/2021,Caldwell,43,42,1,1
6/1/2021,Caldwell,18,16,2,2
6/2/2021,Caldwell,28,28,0,0
6/3/2021,Caldwell,24,22,2,0
6/4/2021,Caldwell,17,17,0,0
6/5/2021,Caldwell,2,2,0,0
6/6/2021,Caldwell,5,4,1,1
6/7/2021,Caldwell,48,46,2,1
6/8/2021,Caldwell,16,16,0,0
6/9/2021,Caldwell,8,7,1,1
6/10/2021,Caldwell,18,18,0,0
6/11/2021,Caldwell,14,14,0,0
6/12/2021,Caldwell,9,9,0,0
6/13/2021,Caldwell,21,21,0,0
6/14/2021,Caldwell,47,47,0,0
6/15/2021,Caldwell,22,21,1,1
6/16/2021,Caldwell,13,13,0,0
6/17/2021,Caldwell,23,21,2,2
6/18/2021,Caldwell,10,10,0,0
6/19/2021,Caldwell,7,7,0,0
6/20/2021,Caldwell,10,5,5,1
6/21/2021,Caldwell,63,57,6,4
6/22/2021,Caldwell,19,19,0,0
6/23/2021,Caldwell,13,12,1,1
6/24/2021,Caldwell,37,37,0,0
6/25/2021,Caldwell,10,9,1,0
6/26/2021,Caldwell,6,5,1,1
6/27/2021,Caldwell,4,4,0,0
6/28/2021,Caldwell,69,68,1,1
6/29/2021,Caldwell,22,20,2,1
6/30/2021,Caldwell,10,10,0,0
7/1/2021,Caldwell,44,44,0,0
7/2/2021,Caldwell,5,5,0,0
7/3/2021,Caldwell,4,4,0,0
7/4/2021,Caldwell,0,0,0,0
7/5/2021,Caldwell,45,44,1,1
7/6/2021,Caldwell,22,21,1,1
7/7/2021,Caldwell,30,28,2,2
7/8/2021,Caldwell,11,11,0,0
7/9/2021,Caldwell,16,15,1,1
7/10/2021,Caldwell,2,2,0,0
7/11/2021,Caldwell,7,5,2,2
7/12/2021,Caldwell,26,21,5,4
7/13/2021,Caldwell,25,23,2,2
7/14/2021,Caldwell,31,28,3,3
3/1/2020,Cameron,0,0,0,0
3/2/2020,Cameron,0,0,0,0
3/3/2020,Cameron,0,0,0,0
3/4/2020,Cameron,0,0,0,0
3/5/2020,Cameron,0,0,0,0
3/6/2020,Cameron,0,0,0,0
3/7/2020,Cameron,0,0,0,0
3/8/2020,Cameron,0,0,0,0
3/9/2020,Cameron,0,0,0,0
3/10/2020,Cameron,0,0,0,0
3/11/2020,Cameron,1,1,0,0
3/12/2020,Cameron,0,0,0,0
3/13/2020,Cameron,5,5,0,0
3/14/2020,Cameron,1,1,0,0
3/15/2020,Cameron,0,0,0,0
3/16/2020,Cameron,6,3,3,1
3/17/2020,Cameron,9,9,0,0
3/18/2020,Cameron,2,2,0,0
3/19/2020,Cameron,1,1,0,0
3/20/2020,Cameron,2,2,0,0
3/21/2020,Cameron,6,6,0,0
3/22/2020,Cameron,0,0,0,0
3/23/2020,Cameron,6,6,0,0
3/24/2020,Cameron,14,14,0,0
3/25/2020,Cameron,9,9,0,0
3/26/2020,Cameron,6,2,4,1
3/27/2020,Cameron,12,12,0,0
3/28/2020,Cameron,5,5,0,0
3/29/2020,Cameron,0,0,0,0
3/30/2020,Cameron,18,14,4,1
3/31/2020,Cameron,8,8,0,0
4/1/2020,Cameron,13,13,0,0
4/2/2020,Cameron,18,18,0,0
4/3/2020,Cameron,18,14,4,1
4/4/2020,Cameron,5,5,0,0
4/5/2020,Cameron,1,1,0,0
4/6/2020,Cameron,5,1,4,1
4/7/2020,Cameron,14,10,4,1
4/8/2020,Cameron,3,2,1,1
4/9/2020,Cameron,12,12,0,0
4/10/2020,Cameron,3,3,0,0
4/11/2020,Cameron,2,1,1,1
4/12/2020,Cameron,1,1,0,0
4/13/2020,Cameron,4,4,0,0
4/14/2020,Cameron,5,5,0,0
4/15/2020,Cameron,3,3,0,0
4/16/2020,Cameron,5,4,1,1
4/17/2020,Cameron,12,10,2,0
4/18/2020,Cameron,0,0,0,0
4/19/2020,Cameron,2,2,0,0
4/20/2020,Cameron,1,1,0,0
4/21/2020,Cameron,7,5,2,0
4/22/2020,Cameron,0,0,0,0
4/23/2020,Cameron,4,4,0,0
4/24/2020,Cameron,3,2,1,0
4/25/2020,Cameron,0,0,0,0
4/26/2020,Cameron,3,3,0,0
4/27/2020,Cameron,8,5,2,1
4/28/2020,Cameron,7,7,0,0
4/29/2020,Cameron,11,11,0,0
4/30/2020,Cameron,14,14,0,0
5/1/2020,Cameron,15,13,2,1
5/2/2020,Cameron,0,0,0,0
5/3/2020,Cameron,5,5,0,0
5/4/2020,Cameron,13,13,0,0
5/5/2020,Cameron,7,7,0,0
5/6/2020,Cameron,4,4,0,0
5/7/2020,Cameron,3,3,0,0
5/8/2020,Cameron,1,1,0,0
5/9/2020,Cameron,2,2,0,0
5/10/2020,Cameron,1,1,0,0
5/11/2020,Cameron,5,4,1,0
5/12/2020,Cameron,8,8,0,0
5/13/2020,Cameron,4,4,0,0
5/14/2020,Cameron,2,2,0,0
5/15/2020,Cameron,3,2,1,1
5/16/2020,Cameron,1,1,0,0
5/17/2020,Cameron,0,0,0,0
5/18/2020,Cameron,9,8,1,1
5/19/2020,Cameron,6,6,0,0
5/20/2020,Cameron,6,6,0,0
5/21/2020,Cameron,12,12,0,0
5/22/2020,Cameron,5,5,0,0
5/23/2020,Cameron,1,1,0,0
5/24/2020,Cameron,1,1,0,0
5/25/2020,Cameron,1,1,0,0
5/26/2020,Cameron,9,7,2,2
5/27/2020,Cameron,16,13,3,3
5/28/2020,Cameron,5,5,0,0
5/29/2020,Cameron,3,3,0,0
5/30/2020,Cameron,3,2,1,1
5/31/2020,Cameron,4,4,0,0
6/1/2020,Cameron,10,7,3,1
6/2/2020,Cameron,25,21,4,0
6/3/2020,Cameron,17,17,0,0
6/4/2020,Cameron,7,5,2,2
6/5/2020,Cameron,12,12,0,0
6/6/2020,Cameron,1,1,0,0
6/7/2020,Cameron,4,3,1,1
6/8/2020,Cameron,8,8,0,0
6/9/2020,Cameron,16,16,0,0
6/10/2020,Cameron,11,11,0,0
6/11/2020,Cameron,12,11,1,1
6/12/2020,Cameron,5,4,1,1
6/13/2020,Cameron,3,3,0,0
6/14/2020,Cameron,3,2,1,1
6/15/2020,Cameron,14,11,3,3
6/16/2020,Cameron,15,15,0,0
6/17/2020,Cameron,17,11,6,6
6/18/2020,Cameron,33,26,7,6
6/19/2020,Cameron,18,13,5,5
6/20/2020,Cameron,8,4,4,3
6/21/2020,Cameron,16,11,5,3
6/22/2020,Cameron,54,47,7,6
6/23/2020,Cameron,64,53,11,9
6/24/2020,Cameron,69,58,11,11
6/25/2020,Cameron,38,35,3,2
6/26/2020,Cameron,22,16,6,5
6/27/2020,Cameron,8,6,2,1
6/28/2020,Cameron,7,4,3,3
6/29/2020,Cameron,42,30,12,9
6/30/2020,Cameron,51,41,10,9
7/1/2020,Cameron,59,47,12,8
7/2/2020,Cameron,24,19,5,3
7/3/2020,Cameron,18,13,5,5
7/4/2020,Cameron,3,0,3,1
7/5/2020,Cameron,4,3,1,1
7/6/2020,Cameron,42,32,10,6
7/7/2020,Cameron,20,16,4,3
7/8/2020,Cameron,22,15,7,5
7/9/2020,Cameron,35,30,5,5
7/10/2020,Cameron,21,19,2,2
7/11/2020,Cameron,1,1,0,0
7/12/2020,Cameron,5,2,3,3
7/13/2020,Cameron,35,30,5,5
7/14/2020,Cameron,56,51,5,5
7/15/2020,Cameron,26,22,4,3
7/16/2020,Cameron,26,21,5,3
7/17/2020,Cameron,32,25,7,5
7/18/2020,Cameron,5,4,1,0
7/19/2020,Cameron,8,6,2,0
7/20/2020,Cameron,26,15,10,6
7/21/2020,Cameron,46,40,6,3
7/22/2020,Cameron,10,7,3,1
7/23/2020,Cameron,24,23,1,1
7/24/2020,Cameron,10,6,4,3
7/25/2020,Cameron,4,4,0,0
7/26/2020,Cameron,3,2,1,1
7/27/2020,Cameron,20,16,4,3
7/28/2020,Cameron,23,21,2,2
7/29/2020,Cameron,12,10,2,2
7/30/2020,Cameron,19,16,3,3
7/31/2020,Cameron,13,13,0,0
8/1/2020,Cameron,3,3,0,0
8/2/2020,Cameron,2,1,1,1
8/3/2020,Cameron,14,11,3,1
8/4/2020,Cameron,15,14,1,0
8/5/2020,Cameron,21,19,2,1
8/6/2020,Cameron,16,15,1,1
8/7/2020,Cameron,8,7,1,0
8/8/2020,Cameron,5,5,0,0
8/9/2020,Cameron,8,5,3,3
8/10/2020,Cameron,19,16,3,2
8/11/2020,Cameron,12,10,2,1
8/12/2020,Cameron,18,15,3,1
8/13/2020,Cameron,17,17,0,0
8/14/2020,Cameron,15,13,2,1
8/15/2020,Cameron,2,2,0,0
8/16/2020,Cameron,3,2,1,1
8/17/2020,Cameron,23,21,2,0
8/18/2020,Cameron,17,16,1,0
8/19/2020,Cameron,19,16,3,2
8/20/2020,Cameron,19,18,1,1
8/21/2020,Cameron,15,13,2,2
8/22/2020,Cameron,1,1,0,0
8/23/2020,Cameron,3,2,1,1
8/24/2020,Cameron,17,17,0,0
8/25/2020,Cameron,1,1,0,0
8/26/2020,Cameron,2,2,0,0
8/27/2020,Cameron,0,0,0,0
8/28/2020,Cameron,3,3,0,0
8/29/2020,Cameron,1,1,0,0
8/30/2020,Cameron,5,4,1,0
8/31/2020,Cameron,5,5,0,0
9/1/2020,Cameron,4,4,0,0
9/2/2020,Cameron,4,4,0,0
9/3/2020,Cameron,4,4,0,0
9/4/2020,Cameron,6,6,0,0
9/5/2020,Cameron,1,1,0,0
9/6/2020,Cameron,4,4,0,0
9/7/2020,Cameron,5,4,1,1
9/8/2020,Cameron,10,4,6,6
9/9/2020,Cameron,5,3,2,2
9/10/2020,Cameron,1,1,0,0
9/11/2020,Cameron,10,7,3,3
9/12/2020,Cameron,0,0,0,0
9/13/2020,Cameron,3,2,1,1
9/14/2020,Cameron,5,4,1,1
9/15/2020,Cameron,4,4,0,0
9/16/2020,Cameron,8,4,4,3
9/17/2020,Cameron,7,6,1,1
9/18/2020,Cameron,4,4,0,0
9/19/2020,Cameron,5,4,1,1
9/20/2020,Cameron,2,1,1,1
9/21/2020,Cameron,9,9,0,0
9/22/2020,Cameron,2,1,1,0
9/23/2020,Cameron,1,1,0,0
9/24/2020,Cameron,7,7,0,0
9/25/2020,Cameron,2,2,0,0
9/26/2020,Cameron,3,1,2,1
9/27/2020,Cameron,7,6,1,1
9/28/2020,Cameron,13,11,2,2
9/29/2020,Cameron,5,4,1,1
9/30/2020,Cameron,4,3,1,1
10/1/2020,Cameron,12,12,0,0
10/2/2020,Cameron,8,7,1,1
10/3/2020,Cameron,1,1,0,0
10/4/2020,Cameron,7,6,1,1
10/5/2020,Cameron,9,8,1,1
10/6/2020,Cameron,8,6,2,0
10/7/2020,Cameron,9,5,4,4
10/8/2020,Cameron,2,1,1,1
10/9/2020,Cameron,6,5,1,0
10/10/2020,Cameron,2,2,0,0
10/11/2020,Cameron,3,3,0,0
10/12/2020,Cameron,16,12,4,3
10/13/2020,Cameron,6,6,0,0
10/14/2020,Cameron,12,11,1,0
10/15/2020,Cameron,5,4,1,1
10/16/2020,Cameron,22,21,1,1
10/17/2020,Cameron,8,7,1,1
10/18/2020,Cameron,5,5,0,0
10/19/2020,Cameron,17,13,4,2
10/20/2020,Cameron,13,13,0,0
10/21/2020,Cameron,10,10,0,0
10/22/2020,Cameron,13,13,0,0
10/23/2020,Cameron,18,18,0,0
10/24/2020,Cameron,3,3,0,0
10/25/2020,Cameron,1,1,0,0
10/26/2020,Cameron,20,17,3,1
10/27/2020,Cameron,9,9,0,0
10/28/2020,Cameron,16,14,2,2
10/29/2020,Cameron,8,6,2,1
10/30/2020,Cameron,12,11,1,1
10/31/2020,Cameron,2,2,0,0
11/1/2020,Cameron,6,5,1,1
11/2/2020,Cameron,28,23,5,4
11/3/2020,Cameron,12,10,2,2
11/4/2020,Cameron,11,11,0,0
11/5/2020,Cameron,16,16,0,0
11/6/2020,Cameron,11,9,2,2
11/7/2020,Cameron,10,10,0,0
11/8/2020,Cameron,5,4,1,1
11/9/2020,Cameron,35,32,3,3
11/10/2020,Cameron,22,21,1,1
11/11/2020,Cameron,28,27,1,1
11/12/2020,Cameron,22,19,3,3
11/13/2020,Cameron,21,18,3,3
11/14/2020,Cameron,1,1,0,0
11/15/2020,Cameron,5,3,2,2
11/16/2020,Cameron,37,30,7,5
11/17/2020,Cameron,17,14,3,3
11/18/2020,Cameron,24,22,2,2
11/19/2020,Cameron,24,20,4,3
11/20/2020,Cameron,16,14,2,2
11/21/2020,Cameron,8,6,2,2
11/22/2020,Cameron,9,9,0,0
11/23/2020,Cameron,23,18,5,4
11/24/2020,Cameron,25,21,4,3
11/25/2020,Cameron,26,23,3,2
11/26/2020,Cameron,0,0,0,0
11/27/2020,Cameron,13,7,6,6
11/28/2020,Cameron,6,4,2,2
11/29/2020,Cameron,6,5,1,1
11/30/2020,Cameron,37,26,11,10
12/1/2020,Cameron,26,21,5,4
12/2/2020,Cameron,28,24,4,4
12/3/2020,Cameron,19,10,9,8
12/4/2020,Cameron,19,14,5,5
12/5/2020,Cameron,8,5,3,2
12/6/2020,Cameron,15,7,8,7
12/7/2020,Cameron,50,39,11,10
12/8/2020,Cameron,31,27,4,3
12/9/2020,Cameron,18,17,1,1
12/10/2020,Cameron,23,22,1,1
12/11/2020,Cameron,18,10,8,7
12/12/2020,Cameron,9,3,6,6
12/13/2020,Cameron,6,5,1,1
12/14/2020,Cameron,25,21,4,4
12/15/2020,Cameron,18,14,4,4
12/16/2020,Cameron,33,27,5,5
12/17/2020,Cameron,36,32,4,3
12/18/2020,Cameron,17,11,6,5
12/19/2020,Cameron,13,9,4,3
12/20/2020,Cameron,13,9,4,3
12/21/2020,Cameron,36,31,5,5
12/22/2020,Cameron,25,23,2,2
12/23/2020,Cameron,25,20,5,3
12/24/2020,Cameron,17,11,6,4
12/25/2020,Cameron,1,1,0,0
12/26/2020,Cameron,12,9,2,1
12/27/2020,Cameron,11,6,5,5
12/28/2020,Cameron,33,27,6,6
12/29/2020,Cameron,27,20,7,5
12/30/2020,Cameron,35,27,8,7
12/31/2020,Cameron,24,18,6,4
1/1/2021,Cameron,2,2,0,0
